電動機車充電站名稱及充電站地址,提供電動機車充電站名稱及充電站地址,/dataset/electric-moto-station
高雄市機車排氣檢驗站資料,提供高雄市機車排氣檢驗站資料,/dataset/locomotive-exhaust-inspection
105年高雄市測量案件統計,高雄市測量案件統計,/dataset/105kao10
役男驗退、停訓處理人數統計表,役男驗退、停訓處理人數統計表,/dataset/mildp
役男徵兵檢查BMI值統計表,役男徵兵檢查BMI值統計表,/dataset/bmi
高雄市政府107年APPS累計下載次數資料表,提供高雄市政府APPS累計下載次數資料表,/dataset/apps-download-107
高雄市最新債務資訊,提供高雄市最新債務資訊,/dataset/latest-debt
107年高雄市政府1999話務中心派工受理前三名機關統計表,提供107年高雄市政府1999話務中心派工受理前三名機關統計表,/dataset/107-1999-3
107年高雄市政府1999話務中心客服人員滿意度指標,提供107年高雄市政府1999話務中心客服人員滿意度指標,/dataset/107-1999-2
107年高雄市政府1999話務中心服務量趨勢圖,提供107年各月高雄市政府1999話務中心服務量趨勢圖,/dataset/107-1999
高雄市公有路外停車場一覽表,"郵遞區號,行政區,型式,編號,停車場名稱,停車場位置,大型車,小型車,機車,腳踏車,收費標準(收費時間),營業時間,備 註,",/dataset/department-of-transportation30
107年高雄市建物第一次登記統計,107年高雄市建物第一次登記統計,/dataset/first-built-registration107
107年高雄市不動產抵押權設定統計,107年高雄市不動產抵押權設定統計,/dataset/re-mortgage-statistics107
107年高雄市不動產拍賣統計,107年高雄市不動產拍賣統計,/dataset/107opdata
107年高雄市不動產買賣統計,107年高雄市不動產買賣統計,/dataset/107kaohs
107年高雄市徵解地政規費,107年度高雄市徵解地政規費,/dataset/107fees
107年高雄市土地及建物登記管理,107年高雄市土地及建物登記管理,/dataset/kao06107
高雄市地政士開業資料,提供高雄市合法之地政士資料,/dataset/106kao1
兒童及少年服務-高雄市兒童福利服務中心及育兒資源中心（含據點）,高雄市兒童福利服務中心及育兒資源據點,/dataset/frg0401
寺廟教會名冊,提供寺廟教會資訊，包含寺廟名稱、宗教別、聯絡電話、場所縣市、場所區域、場所地址、負責人、登記證字號、主祀神佛像、財團法人名稱、建別、組織型態等資料,/dataset/temple-church-lists
高雄市墳墓及納骨塔使用情形,高雄市納骨塔櫃位、神主牌、樹葬、海葬使用情形資訊,/dataset/cemetery-columbarium-usage
公告違反勞動基準法事業單位名單,公告違反勞動基準法事業單位名單,/dataset/laborlawless
高雄市忠烈祠管理概況,高雄市忠烈祠管理概況,/dataset/shrine1
高雄市國民兵列管人數,高雄市國民兵列管人數,/dataset/militia
高雄市政府處理違反有線廣播電視法案件裁量基準,提供高雄市政府處理違反有線廣播電視法案件裁量基準,/dataset/tv-discretion-standard
105年度支用道路交通安全預算辦理情形-高市62101運用大眾傳播媒體宣導計畫,105年度支用道路交通安全預算辦理情形-高市62101運用大眾傳播媒體宣導計畫,/dataset/105-62101
105年度支用道路交通安全預算辦理情形-高市62302運用大眾傳播媒體宣導計畫,105年度支用道路交通安全預算辦理情形-高市62302運用大眾傳播媒體宣導計畫,/dataset/104-73103
高雄市政府新聞局電子書網址,提供高雄市政府新聞局電子書網址,/dataset/ebook-url
高雄市政府新聞局其他出版品連結網址,高雄市政府新聞局其他出版品連結網址,/dataset/other-publications-website
莫拉克風災重建快報連結網址,提供莫拉克風災重建快報連結網址,/dataset/typhoon-morakot-reconstruction
鼓聲市府月刊連結網址,提供鼓聲市府月刊連結網址,/dataset/monthly-drum-comunale
海洋首都中英文雙月刊連結網址,提供海洋首都中英文雙月刊連結網址,/dataset/marine-capital
高雄電子期刊網頁連結,提供高雄電子期刊網頁連結,/dataset/electronic-journals
高雄市政府新聞局影片播放網站,提供高雄市政府新聞局影片播放網站,/dataset/website-video-player
高雄市政府新聞局港都畫報網址,高雄市政府新聞局港都畫報網址,/dataset/harbor-illustrated-url
高雄市有線電視爭議Q&A,提供高雄市有線電視爭議Q&A,/dataset/cable-tv-disputeq-a
106年度河川水質監測資料,提供河川水質監測資料,/dataset/river-water-quality
106年高雄市外國人地權登記管理,說明所有權取得、移轉及他項權利登記,/dataset/106registration-of-land-right-obtained-by-foreigner
本府106年公職人員財產申報受理人數統計公開資料,本府106年公職人員財產申報受理人數統計公開資料,/dataset/dispdata
107年高雄市民向市長索取中堂輓額（含電子輓額）統計表,市民以寄信或親送及網路方式請託,/dataset/107mayor
高雄市常備兵及補充兵徵集人數,提供高雄市常備兵及補充兵徵集人數,/dataset/number-of-collect
役男免役禁役緩徵處理情形表,提供役男免役禁役緩徵處理情形表,/dataset/immunization-banned
補助私人團體經費報告,工作計畫科目名稱、補助事項或用途、補助對象、主辦機關、累計撥付金額、,/dataset/subsidy
107年高雄市完成設立備查之不動產經紀業,每月統計高雄市完成設立備查之不動產經紀業者,/dataset/chrisyan
高雄市政府所屬機關iTaiwan無線網路統計資料,106年高雄市政府所屬機關iTaiwan無線網路資料,/dataset/106-itaiwan
妨害兵役案件統計表,妨害兵役案件統計,/dataset/mildp02
改進傳統市場經營管理-樂活菜市仔競爭力提升計畫,提供改進傳統市場經營管理-樂活菜市仔競爭力提升計畫,/dataset/competitiveness-project
高雄市攤集場名冊,提供高雄市攤集場名冊,/dataset/booth-set-field-roster
高雄市民有零售市場,提供高雄市民有零售市場,/dataset/the-retail-market
