主管機關,收容所編號,收容所名稱,收容所鄉鎮市區,收容所村里,地址,管理人,連絡電話,收容人數,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,SV950-0001,臺東市公所,臺東市,文化里,臺東縣臺東市文化里14鄰博愛路365號,社會課劉金強,(089)325301,34,265059.16,2517127.71,,20171024
臺東縣政府,SV950-0002,臺東市老人文康活動中心,臺東市,富岡里,臺東縣臺東市富岡里4鄰吉林路二段699巷22號,里長曾阿粉,0937600483,28,268948.31,2521265.61,,20171024
臺東縣政府,SV950-0003,豐里社區活動中心,臺東市,豐里里,臺東縣臺東市豐里里21鄰豐里街756巷20號,理事長鄭彼得,0932535408,27,261915.15,2514632.61,,20171024
臺東縣政府,SV950-0007,知本社區活動中心,臺東市,知本里,臺東縣臺東市知本里4鄰知本路三段13巷40號,里長馬捷,(089)510110,34,255716.56,2511669.74,,20171024
臺東縣政府,SV950-0009,新園社區活動中心,臺東市,新園里,臺東縣臺東市新園里中興路六段708號,里長陳輝宗,(089)380311,40,,,,20171024
臺東縣政府,SV950-0010,富豐社區活動中心,臺東市,富豐里,臺東縣臺東市富豐里14鄰吉林路一段279巷58號,里長吳英蘭,(089)226527,34,266633.11,2520254.15,,20171024
臺東縣政府,SV950-0011,中華社區活動中心,臺東市,中華里,臺東縣臺東市中華里華泰街231號,里長羅進坤,(089)321011,34,,,,20171024
臺東縣政府,SV950-0012,卑南里民眾活動中心,臺東市,卑南里,臺東縣臺東市卑南里11鄰南清街23號,里長陳志雄,(089)221917,40,262564.21,2520153.2,,20171024
臺東縣政府,SV950-0013,豐田里民眾活動中心,臺東市,豐田里,臺東縣臺東市豐田里14鄰中興路四段735號,理事長黃泉智,(089)381878,18,258869.81,2519297.1,,20171024
臺東縣政府,SV950-0016,臺東縣臺東市新園國小,臺東市,新園里,臺東縣臺東市新園里新園路88號,總務組呂主任輝榮,(089)382590分機13,75,256402.8,2518269.96,,20171024
臺東縣政府,SV950-1001,行政院國軍退除役官兵輔導委員會馬蘭榮譽國民之家,臺東市,南榮里,臺東縣臺東市南榮里更生路1010號,許念祖,(089)222417,10,,,,20171024
臺東縣政府,SV950-1002,空軍第737戰術戰鬥機聯隊,臺東市,富豐里,臺東縣臺東市富豐里1號,王詳閩少校,(089)223911分機872103,329,,,,20171024
臺東縣政府,SV961-0001,宜灣天主堂,成功鎮,博愛里,臺東縣成功鎮博愛里宜灣路108號,張神父,(089)871100,30,290996.05,2567635.27,,20171024
臺東縣政府,SV961-0002,基督長老教會博愛教會,成功鎮,博愛里,臺東縣成功鎮博愛里4鄰重安路56號,林牧師,0918666048,50,290471.11,2565651.32,,20171024
