資料集名稱,資料來源,聯絡人,聯絡電話,資料說明
宜蘭縣殯葬設施一覽表,民政處_宗教禮俗科,林宜珍,(03)925-1000,目前宜蘭縣提供宜蘭縣殯葬設施一覽表
宜蘭縣最新人口數及戶數統計表,民政處_戶政科,賴建勳,(03)925-1000,宜蘭縣人口數及戶數統計表
宜蘭縣縣有財產量值目錄,財政處_公有財產科,黃逢時,(03)925-1000,當年度宜蘭縣縣有財產量值目錄
宜蘭縣政府107年度歲入預算執行情形表,財政處_財務管理科,蔡瑾怡,(03)925-1000,提供宜蘭縣政府當年度各月份歲入預算執行情形表
106年度宜蘭縣總預算歲入來源別預算表,財政處_財務管理科,蔡瑾怡,(03)925-1000,提供宜蘭縣當年度歲入總預算編列情形表
公告宜蘭縣政府公共債務情形,財政處_財務企劃科,顏秀卿,(03)925-1000,公告每月宜蘭縣政府公共債務資訊
公告宜蘭縣政府最新債務訊息,財政處_財務企劃科,顏秀卿,(03)925-1000,公告宜蘭縣政府最新債務訊息各月統計表
宜蘭縣政府93年至105年歲入出及公共債務明細表,財政處_財務企劃科,顏秀卿,(03)925-1000,宜蘭縣政府93年至105年歲入出及公共債務明細表
宜蘭縣市區客運站位經緯度,建設處_公共運輸科,李長晃,(03)925-1000,宜蘭縣市區客運站位經緯度
宜蘭縣市區客運路線線型經緯度,建設處_公共運輸科,李長晃,(03)925-1000,宜蘭縣市區客運路線線型經緯度
宜蘭縣假日開放停車場與廁所學校一覽表,教育處_教育資源管理科,吳怡嫺,(03)925-1000,目前宜蘭縣假日開放停車場與廁所學校一覽表
宜蘭縣通過認證環境教育場所認證情形表,教育處_體育保健科,梁璋玲,(03)925-1000,本縣累積取得環境教育設施場所認證計11所，武荖坑環境教育中心、深溝水源生態園區、羅東自然教育中心、臺灣戲劇館、宜蘭縣利澤垃圾資源回收（焚化）廠、頭城農場、芳香植物博物館（香草菲菲）、蘭陽博物館、宜蘭縣無尾港環境學習中心、員山生態教育館及雙連埤生態教室。
宜蘭縣村里資訊站及村里混裝數位機會中心,計畫處_資訊應用科,何瀛州,(03)925-1000,村里資訊站及村里混裝數位機會中心點位資訊
宜蘭縣免費無線熱點,計畫處_資訊應用科,何瀛州,(03)925-1000,目前宜蘭縣提供無線網路點位清單一覽表
政府行政機關辦公日曆表,人事處_人力科,蕭秀娟,(03)925-1000,提供行政院人事行政總處訂定每年行政機關辦公日曆表
宜蘭縣公費流感抗病毒藥劑合約院所名冊,衛生局_疾病管制科,范嘉琪,(03)925-1000,宜蘭縣公費流感抗病毒藥劑合約配置點一覽表
結核病個案、接觸者及潛伏結核感染治療個案管理統計報表,衛生局_疾病管制科,林宜姿,(03)925-1000,依據疾病管制署資料提供宜蘭縣結核病案數等資訊
宜蘭縣勞工一般、特殊、巡迴體格與健康檢查認可之醫療機構,衛生局_保健科,陳雅雯,(03)925-1000,105年宜蘭縣勞工一般、特殊、巡迴體格及健康檢查指定醫院名冊
宜蘭縣健康促進醫院(HPH國際網絡認證)機構名單,衛生局_保健科,曹錦蘭,(03)925-1000,宜蘭縣6家健康促進醫院(HPH國際網絡認證)機構名單
醫政違規案件統計,衛生局_醫政科,邱美玉,(03)925-1000,年度醫政違規案件統計
宜蘭縣醫療機構地址電話名冊,衛生局_醫政科,邱美玉,(03)925-1000,宜蘭縣內診所名冊
宜蘭縣產後護理之家,衛生局_醫政科,邱美玉,(03)925-1000,宜蘭縣產後護理之家名冊
宜蘭縣各急救責任醫院概況,衛生局_醫政科,葉健芬,(03)925-1000,7家急救責任醫院名稱
宜蘭縣心理資源,衛生局_心理衛生及毒品防制科,邱麗蓉,(03)925-1000,宜蘭縣心理衛生資源現況
指定藥癮戒治機構,衛生局_心理衛生及毒品防制科,蔡美英,(03)925-1000,宜蘭縣指定藥癮戒治機構
宜蘭縣藥局名冊,衛生局_食品藥物管理科,張文虹,(03)925-1000,目前宜蘭縣藥局一覽表
宜蘭縣餐飲業衛生優良評核名單,衛生局_食品藥物管理科,黃美珠,(03)925-1000,宜蘭縣餐飲業衛生優良評核名單
宜蘭縣餐盒業衛生優良評核名單,衛生局_食品藥物管理科,黃美珠,(03)925-1000,宜蘭縣餐盒業衛生優良評核名單
宜蘭縣烘焙業衛生優良評核名單,衛生局_食品藥物管理科,黃美珠,(03)925-1000,宜蘭縣烘焙業衛生優良評核名單
宜蘭縣一般護理之家,長期照護服務管理所_長照服務組,何淑遠,(03)925-1000,目前宜蘭縣一般護理之家名單一覽表
宜蘭縣居家護理所名單,長期照護服務管理所_長照服務組,何淑遠,(03)925-1000,目前宜蘭縣居家護理所名單一覽表
宜蘭縣立案老人長期照顧及安養機構名冊,長期照護服務管理所_長照服務組,李佺璟,(03)925-1000,目前宜蘭縣立案老人長期照顧及安養機構名冊一覽表
宜蘭縣測速及闖紅燈固定桿設置地點,警察局_交通隊,陳俊吉,(03)925-1000,目前宜蘭縣提供測速及闖紅燈固定桿設置地點清單一覽表
宜蘭縣路口監錄系統設置地點,警察局_保安科,蔡佳雯,(03)925-1000,94至106年宜蘭縣路口監錄系統設置地點一覽表
宜蘭縣政府警察局及各分局、分駐(派出)所地址及電話,警察局_資訊科,林佳民,(03)925-1000,警察局及各分局、分駐(派出)所地址及電話一覽表
宜蘭縣政府地方稅務局保有及管理個人資料項目彙整表,地方稅務局_資訊管理科,洪祖凱,(03)925-1000,宜蘭縣政府地方稅務局保有個人資料之項目及管理單位
宜蘭縣繳稅方式,地方稅務局_企劃服務科,許甘靜,(03)932-5101轉101,提供地方稅繳稅方式適用範圍、適用期間、適用對象、操作程序、納稅人負擔手續費等資訊
宜蘭縣政府地方稅務局行事曆,地方稅務局_企劃服務科,許甘靜,(03)932-5101轉101,提供宜蘭縣政府地方稅務局行事曆
宜蘭縣政府消防局各單位通訊錄,消防局_人事室,林怡伶,(03)925-1000,提供宜蘭縣政府消防局各單位最新之通訊錄供所需單位或民眾參閱
宜蘭縣政府燃氣熱水器承裝業技術士名冊,消防局_災害預防科,林芫茂,(03)925-1000,合格燃氣熱水器承裝業者所屬技術士
宜蘭縣政府燃氣熱水器承裝業名冊,消防局_災害預防科,林芫茂,(03)925-1000,燃氣熱水器承裝業者須向本局申請核可承裝業，方得安裝
消防安全檢查重大不合格場所一覽表,消防局_災害預防科,張華偉,(03)925-1000,營業場所經消防安全檢查不合格，於限改期限後，複查仍未改善者且舉發裁處在案者
曾發生溺水地點,消防局_災害搶救科,藍文宏,(03)925-1000,目前宜蘭縣各水域曾經發生溺水案件並造成民眾死亡之清單一覽表
搶救不易狹小窄道清冊,消防局_災害搶救科,陳梅齡,(03)925-1000,目前宜蘭縣狹小巷道清冊一覽表
105年1月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年2月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年3月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年4月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年5月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年6月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年7月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年8月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年9月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年10月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年11月份已登記公私有土地筆數面積統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內已登記公私有土地筆數面積統計表
105年4月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年5月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年6月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年7月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年8月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年9月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年10月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
105年11月份土地及建物登記管理統計表,宜蘭地政事務所_登記課,黃首輝,(03)925-1000,宜蘭地政事務所轄區內土地及建物登記管理統計表
羅東地政_103年已登記公私有土地筆數面積統計表,羅東地政事務所_登記課,林清富,(03)925-1000,羅東地政_103年已登記公私有土地筆數面積統計表
羅東地政_104年已登記公私有土地筆數面積統計表,羅東地政事務所_登記課,林清富,(03)925-1000,羅東地政_104年已登記公私有土地筆數面積統計表
宜蘭縣工會組織名冊,勞工處_勞動行政科,楊興中,(03)925-1000,宜蘭縣工會組織名冊
宜蘭縣就業服務平台一覽表,勞工處_青年及就業職訓科,黃冠綸,(03)925-1000,宜蘭縣就業服務平台一覽表
宜蘭縣視障按摩業者資料一覽表,勞工處_勞動行政科,楊恂涵,(03)925-1000,宜蘭縣視障按摩業者資料一覽表
宜蘭縣私立就業服務機構名冊,勞工處_勞動行政科,林芳沂,(03)925-1000,宜蘭縣私立就業服務機構基本資料
宜蘭縣旅館名冊,工商旅遊處_觀光行銷科,林建國,(03)925-1000,宜蘭縣內已申請核准之旅館名冊
宜蘭縣短期補習班,教育處_多元教育科,黃惠珍,(03)925-1000,宜蘭縣短期補習班
宜蘭縣樂齡學習中心,教育處_多元教育科,候怡婷,(03)925-1000,宜蘭縣樂齡學習中心
宜蘭縣社區大學,教育處_多元教育科,許凱雯,(03)925-1000,宜蘭縣社區大學
宜蘭縣公立幼兒園,教育處_特殊及幼兒教育科,張育甄,(03)925-1000,宜蘭縣公立幼兒園
宜蘭縣私立幼兒園,教育處_特殊及幼兒教育科,張育甄,(03)925-1000,宜蘭縣私立幼兒園
宜蘭縣衛生所,衛生局_企劃科,林蔚良,(03)925-1000,宜蘭縣衛生所
宜蘭縣預防接種合約院所,衛生局_疾病管制科,劉玉蓮,(03)925-1000,宜蘭縣預防接種合約院所
宜蘭縣呼吸照護資源,衛生局_醫政科,邱美玉,(03)925-1000,宜蘭縣呼吸照護資源
宜蘭縣行政區救護車資源,衛生局_醫政科,葉健芬,(03)925-1000,宜蘭縣行政區救護車資源
宜蘭縣安心標章認證通過業者,衛生局_食品藥物管理科,王昱凱,(03)925-1000,宜蘭縣安心標章認證通過業者
宜蘭縣公共圖書館,文化局_文學及圖書資訊科,陳泓翔,(03)925-1000,宜蘭縣公共圖書館
宜蘭縣獨居長者關懷志工隊,社會處_老人及身障福利科,莊勝堯,(03)925-1000,宜蘭縣獨居長者關懷志工隊
宜蘭縣合法酒製造業者,財政處_金融菸酒科,陳財益,(03)925-1000,宜蘭縣合法酒製造業者
宜蘭縣偏遠地區移動式機車檢驗站機車定檢服務行程表,環保局_空氣噪音防制科,楊家騏,03-9907755#209,提供本年度宜蘭縣偏遠地區移動式機車檢驗站機車定檢服務行程表(CSV_XML_JSON格式)
宜蘭縣歷屆環境教育獎得獎名單,環保局_綜合計劃科,謝欣妤,03-9907755#158,宜蘭縣歷屆環境教育獎得獎名單
宜蘭縣土壤採樣計畫採樣次數資料,環保局_水污染防治科,潘莉雯,03-9907755#805,提供宜蘭縣土壤採樣計畫採樣次數資料(CSV_XML_JSON)
宜蘭縣取得事業廢棄物(廚餘)再利用檢核身分機構名冊,環保局_廢棄物管理科,劉雅芷,03-9907755#602,提供宜蘭縣取得事業廢棄物(廚餘)再利用檢核身分機構名冊(CSV_XML_JSON格式)
宜蘭縣利澤焚化廠位置資料,環保局_設施管理及檢驗科,蔡培民,03-03-9907755#602,宜蘭縣利澤焚化廠位置資料
宜蘭縣水肥清運業者經許可投入水肥處理站名冊,環保局_設施管理及檢驗科,林恆裕,03-9907755#606,宜蘭縣水肥清運業者經許可投入水肥處理站名冊
宜蘭縣4大水泥廠廢棄物再利用資料,環保局_設施管理及檢驗科,賴欽鵬,03-9907755#610,宜蘭縣4大水泥廠廢棄物再利用資料
宜蘭縣超商賣場廟宇紙錢集中門市名冊,環保局_空氣噪音防制科,林修毅,03-9907755#202,提供宜蘭縣105年超商賣場廟宇紙錢集中門市名冊(CSV_XML_JSON)
宜蘭縣政府第9屆環境影響評估審查委員會委員名冊,環保局_綜合計劃科,吳聰鈐,03-9907755#157,宜蘭縣政府第8屆環境影響評估審查委員會委員名冊
宜蘭縣各公所及清潔隊聯絡資料,環保局_廢棄物管理科,歐俊民,03-9907755#303,提供宜蘭縣各公所及清潔隊聯絡資料(CSV_XML_JSON)
宜蘭縣場置性地下水監測井基本資料,環保局_水污染防治科,潘莉雯,03-9907755#805,提供宜蘭縣場置性地下水監測井基本資料(CSV_XML_JSON)
宜蘭縣各公所歷年環境清潔競賽考核評比成績,環保局_廢棄物管理科,蕭雪霞,03-9907755#309,提供宜蘭縣各公所歷年環境清潔競賽考核評比成績(CSV_XML_JSON)
